Size,,,, CPU Time,,Size,,,,CPU Time
2800,7, Adj List, CPU Time,0.001283,,2800,7, Adj Matrix, CPU Time,1.037621
2800,6, Adj List, CPU Time,0.001268,,2800,6, Adj Matrix, CPU Time,1.084233
2800,5, Adj List, CPU Time,0.001259,,2800,5, Adj Matrix, CPU Time,1.091773
2800,4, Adj List, CPU Time,0.001252,,2800,4, Adj Matrix, CPU Time,1.556892
2800,3, Adj List, CPU Time,0.001261,,2800,3, Adj Matrix, CPU Time,1.106887
2800,2, Adj List, CPU Time,0.001267,,2800,2, Adj Matrix, CPU Time,1.010069
2800,1, Adj List, CPU Time,0.001236,,2800,1, Adj Matrix, CPU Time,1.662972
2550,10, Adj List, CPU Time,0.001092,,2550,10, Adj Matrix, CPU Time,2.365108
2550,9, Adj List, CPU Time,0.001141,,2550,9, Adj Matrix, CPU Time,0.856502
2550,8, Adj List, CPU Time,0.001144,,2550,8, Adj Matrix, CPU Time,1.141477
2550,7, Adj List, CPU Time,0.001132,,2550,7, Adj Matrix, CPU Time,1.205522
2550,6, Adj List, CPU Time,0.001112,,2550,6, Adj Matrix, CPU Time,1.290297
2550,5, Adj List, CPU Time,0.001102,,2550,5, Adj Matrix, CPU Time,1.073357
2550,4, Adj List, CPU Time,0.001159,,2550,4, Adj Matrix, CPU Time,0.929081
2550,3, Adj List, CPU Time,0.001186,,2550,3, Adj Matrix, CPU Time,0.859793
2550,2, Adj List, CPU Time,0.001141,,2550,2, Adj Matrix, CPU Time,0.88858
2550,1, Adj List, CPU Time,0.001138,,2550,1, Adj Matrix, CPU Time,0.948811
2300,10, Adj List, CPU Time,0.001045,,2300,10, Adj Matrix, CPU Time,0.570917
2300,9, Adj List, CPU Time,0.001019,,2300,9, Adj Matrix, CPU Time,1.030552
2300,8, Adj List, CPU Time,0.000982,,2300,8, Adj Matrix, CPU Time,1.112294
2300,7, Adj List, CPU Time,0.001003,,2300,7, Adj Matrix, CPU Time,0.79691
2300,6, Adj List, CPU Time,0.000975,,2300,6, Adj Matrix, CPU Time,1.025262
2300,5, Adj List, CPU Time,0.001034,,2300,5, Adj Matrix, CPU Time,0.682445
