comp, swap, thresh, size, cpu_time, -->, time
2310000, 0, 240, 232, 0.013305, -->, 0.017s
9480000, 0, -1, 232, 0.245704, -->, 0.250s
 
2300000, 0, 240, 231, 0.015529, -->, 0.018s
9450000, 0, -1, 231, 0.247615, -->, 0.253s
2300000, 0, 240, 231, 0.013480, -->, 0.017s
9450000, 0, -1, 231, 0.246854, -->, 0.251s
2300000, 0, 240, 231, 0.011398, -->, 0.016s
9450000, 0, -1, 231, 0.245269, -->, 0.249s
2300000, 0, 240, 231, 0.011812, -->, 0.016s
9450000, 0, -1, 231, 0.246543, -->, 0.249s
2300000, 0, 240, 231, 0.014203, -->, 0.018s
9450000, 0, -1, 231, 0.247225, -->, 0.251s
2300000, 0, 240, 231, 0.014558, -->, 0.016s
9450000, 0, -1, 231, 0.248557, -->, 0.253s
2300000, 0, 240, 231, 0.014594, -->, 0.016s
9450000, 0, -1, 231, 0.248614, -->, 0.253s
2300000, 0, 240, 231, 0.013804, -->, 0.017s
9450000, 0, -1, 231, 0.243105, -->, 0.248s
2300000, 0, 240, 231, 0.013539, -->, 0.016s
9450000, 0, -1, 231, 0.247779, -->, 0.250s
2300000, 0, 240, 231, 0.011887, -->, 0.017s
9450000, 0, -1, 231, 0.246019, -->, 0.248s
 
2290000, 0, 240, 230, 0.012428, -->, 0.017s
9410000, 0, -1, 230, 0.245774, -->, 0.250s
2290000, 0, 240, 230, 0.015099, -->, 0.017s
9410000, 0, -1, 230, 0.245158, -->, 0.249s
2290000, 0, 240, 230, 0.011345, -->, 0.016s
9410000, 0, -1, 230, 0.245534, -->, 0.249s
2290000, 0, 240, 230, 0.011879, -->, 0.016s
9410000, 0, -1, 230, 0.242474, -->, 0.248s
2290000, 0, 240, 230, 0.012373, -->, 0.017s
9410000, 0, -1, 230, 0.246093, -->, 0.250s
2290000, 0, 240, 230, 0.011118, -->, 0.016s
9410000, 0, -1, 230, 0.245782, -->, 0.248s
2290000, 0, 240, 230, 0.013565, -->, 0.016s
9410000, 0, -1, 230, 0.252189, -->, 0.255s
2290000, 0, 240, 230, 0.013529, -->, 0.016s
9410000, 0, -1, 230, 0.243902, -->, 0.249s
2290000, 0, 240, 230, 0.011138, -->, 0.016s
